ScientificName,AphiaID,Trophy,typeMX,source,dataType,Kingdom,Phylum,Class,Order,Family,Genus,Species
Acanthochiasma,368427,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Holacanthida,Acanthochiasmidae,Acanthochiasma,NA
Acanthochiasma_fusiforme,368428,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Holacanthida,Acanthochiasmidae,Acanthochiasma,fusiforme
Acanthocollidae,367348,protozooplankton,NA,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Holacanthida,Acanthocollidae,NA,NA
Acanthometra,235749,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Arthracanthida,Acanthometridae,Acanthometra,NA
Acanthometra_pellucida,235750,mixoplankton,eSNCM,Leles et al. 2017,review,Chromista,Radiozoa,Acantharia,Arthracanthida,Acanthometridae,Acanthometra,pellucida
Acanthometridae,235748,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Arthracanthida,Acanthometridae,NA,NA
Acanthometron,391880,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Arthracanthida,Acanthometridae,Acanthometron,NA
Acanthoplegma,368432,protozooplankton,NA,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Holacanthida,Acanthoplegmidae,Acanthoplegma,NA
Acanthostaurus,393198,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Arthracanthida,NA,Acanthostaurus,NA
Acanthostaurus_nordgaardi,393199,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Arthracanthida,NA,Acanthostaurus,nordgaardi
Amphilonche_elongata,235752,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Arthracanthida,Acanthometridae,Amphilonche,elongata
Chaunacanthida,367300,protozooplankton,NA,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Chaunacanthida,NA,NA,NA
Diploconidae,367340,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Arthracanthida,Diploconidae,NA,NA
Diploconus_fasces,711980,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Acantharia incertae sedis,NA,Diploconus,fasces
Dorataspidae,367338,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Arthracanthida,Dorataspidae,NA,NA
Gigartaconidae,367345,protozooplankton,NA,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Chaunacanthida,Gigartaconidae,NA,NA
Hexalaspidae,367342,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Arthracanthida,Hexalaspidae,NA,NA
Lithoptera_fenestrata,711972,mixoplankton,eSNCM,Faure et al. 2019,review,Chromista,Radiozoa,Acantharia,Acantharia incertae sedis,NA,Lithoptera,fenestrata
Lithopteridae,367341,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Arthracanthida,Lithopteridae,NA,NA
Phractopeltidae,367339,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Arthracanthida,Phractopeltidae,NA,NA
Phyllostauridae,367335,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Arthracanthida,Phyllostauridae,NA,NA
Stauracanthidae,367336,mixoplankton,eSNCM,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Arthracanthida,NA,NA,NA
Stauraconidae,367343,protozooplankton,NA,Decelle 2012,paper,Chromista,Radiozoa,Acantharia,Chaunacanthida,Stauraconidae,NA,NA
Acanthoceras_zachariasii,178990,phytoplankton,NA,Helcom,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Acanthoceras,zachariasii
Achnanthes_brevipes,149387,phytoplankton,NA,RWS,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,brevipes
Achnanthes_longipes,156533,phytoplankton,NA,RWS,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,longipes
Actinocyclus_cholnokyi,179603,phytoplankton,NA,RWS,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,cholnokyi
Actinocyclus_normanii,148945,phytoplankton,NA,Helcom,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,normanii
Actinocyclus_normanii_f__normanii,162766,phytoplankton,NA,Helcom,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,normanii
Actinocyclus_normanii_f__subsalsus,157433,phytoplankton,NA,Helcom,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,normanii
Actinocyclus_octonarius_var__crassus,160648,phytoplankton,NA,Helcom,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,octonarius
Actinocyclus_octonarius_var__octonarius,162770,phytoplankton,NA,Helcom,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,octonarius
Actinocyclus_octonarius_var__tenellus,160650,phytoplankton,NA,Helcom,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,octonarius
Actinocyclus_senarius,162810,phytoplankton,NA,RWS,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,senarius
Actinoptychus_octonarius,149163,phytoplankton,NA,Helcom,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,octonarius
Actinoptychus_senarius,148948,phytoplankton,NA,Helcom,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,senarius
Actinoptychus_splendens,148949,phytoplankton,NA,RWS,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,splendens
Amphiprora_lepidoptera_f__lepidoptera,983277,phytoplankton,NA,RWS,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,lepidoptera
Amphiprora_paludosa_var__paludosa,163647,phytoplankton,NA,Helcom,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,paludosa
Amphora_commutata,163655,phytoplankton,NA,Helcom,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,commutata
Amphora_laevis,149530,phytoplankton,NA,RWS,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,laevis
Amphora_laevissima_var__perminuta,969098,phytoplankton,NA,RWS,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,laevissima
Amphora_ovalis,149524,phytoplankton,NA,Helcom,routineMonitoring,Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,ovalis
